Localidade da Escola,Escolas,Categoria 1,Categoria 2
Brasil,5209,Rural,Estadual
Brasil,94,Rural,Federal
Brasil,45270,Rural,Municipal
Brasil,695,Rural,Privada
Brasil,24068,Urbana,Estadual
Brasil,614,Urbana,Federal
Brasil,61589,Urbana,Municipal
Brasil,41747,Urbana,Privada
Centro-Oeste,403,Rural,Estadual
Centro-Oeste,15,Rural,Federal
Centro-Oeste,1059,Rural,Municipal
Centro-Oeste,27,Rural,Privada
Centro-Oeste,2237,Urbana,Estadual
Centro-Oeste,53,Urbana,Federal
Centro-Oeste,4015,Urbana,Municipal
Centro-Oeste,2700,Urbana,Privada
Nordeste,1280,Rural,Estadual
Nordeste,32,Rural,Federal
Nordeste,24708,Rural,Municipal
Nordeste,392,Rural,Privada
Nordeste,5060,Urbana,Estadual
Nordeste,201,Urbana,Federal
Nordeste,17669,Urbana,Municipal
Nordeste,10552,Urbana,Privada
Norte,1606,Rural,Estadual
Norte,11,Rural,Federal
Norte,11714,Rural,Municipal
Norte,53,Rural,Privada
Norte,2308,Urbana,Estadual
Norte,71,Urbana,Federal
Norte,4550,Urbana,Municipal
Norte,1813,Urbana,Privada
Sudeste,831,Rural,Estadual
Sudeste,22,Rural,Federal
Sudeste,4998,Rural,Municipal
Sudeste,170,Rural,Privada
Sudeste,9876,Urbana,Estadual
Sudeste,185,Urbana,Federal
Sudeste,24224,Urbana,Municipal
Sudeste,20544,Urbana,Privada
Sul,1089,Rural,Estadual
Sul,14,Rural,Federal
Sul,2791,Rural,Municipal
Sul,53,Rural,Privada
Sul,4587,Urbana,Estadual
Sul,104,Urbana,Federal
Sul,11131,Urbana,Municipal
Sul,6138,Urbana,Privada
